,predict_original_data
561,870.1871275742637
562,865.9428351698202
563,865.8290350049502
564,872.4688244441797
565,873.8922543262262
566,870.7118689893297
567,864.61755920631
568,858.0925711567219
569,852.516717723983
570,849.6482085966293
571,842.8470172776094
572,837.1942984055696
573,836.3312244622032
574,835.6912856617181
575,834.6686627281117
576,834.9634799035056
577,834.2274894152857
578,834.8855957014914
579,834.803290926106
580,834.7933911072753
581,832.9260880283418
582,832.7385048180826
583,833.00155712618
584,833.4458060786078
585,832.8136114445545
586,833.9557473702671
587,834.1118259236107
588,835.583397243877
589,837.3674850159559
590,838.0517646997537
591,839.0637854744601
592,840.4551182640076
593,841.7671635356998
594,842.4590697640525
595,843.7897710035569
596,843.1501355052907
597,843.5913937179328
598,842.7924187277824
599,842.671230802405
600,842.2378998611536
601,841.5379760771111
602,841.3835821570344
603,842.4171082057511
604,844.4034950661438
605,846.9939095632392
606,847.142875646436
607,846.4974692604806
608,845.3122970151378
609,845.0271031677846
610,846.510407890576
611,846.1080681048519
612,846.9827693042115
613,846.1903193603956
614,844.5537003870701
615,845.6493459829745
616,846.6421644113393
617,845.6621943259
618,843.4380236515591
619,842.4415209916417
620,840.8633729577386
621,841.7670901251216
622,841.5637216223188
623,841.3287652303097
624,840.8833102264737
625,840.5563911720153
626,839.2096167463578
627,841.3010780249951
628,841.8254676944234
629,841.5744400358374
630,841.7391724937837
631,842.4728441699106
632,842.2075473416032
633,841.703443392897
634,840.9978141318742
635,840.2355009137083
636,838.9800978569427
637,837.6947766011026
638,838.573910065995
639,837.7522957850937
640,837.7718186606602
641,838.0288077294036
642,837.7843412722376
643,837.8369279776371
644,838.1400693430788
645,837.4651927042621
646,837.5539763691853
647,837.9781221047117
648,838.1351248750558
649,837.9051006913347
650,837.5665591000562
651,837.020474206167
652,836.4617573255535
653,836.1354926349946
654,835.8504547828339
655,835.6027369299541
656,835.2552371794147
657,835.2447909070744
658,835.3032990321589
659,835.6200641731022
660,835.59371737469
661,834.6805046338303
662,832.9603476643414
663,831.5164897882215
664,830.3812844312397
665,829.4664279170125
666,828.9380330169153
667,828.3852560644332
668,828.6970609892977
669,829.0084188435682
670,829.4295511582451
671,829.9046108640864
672,830.49048709626
673,830.5507127498367
674,831.0827161819604
675,832.9059250442625
676,836.4162057072436
677,842.1942965542812
678,850.2856833361609
679,859.3193139243697
680,869.8123597899582
681,880.7501898666424
682,886.1069783920907
683,888.4167695348082
684,886.4692684425399
685,881.6029385264283
686,874.9812030274179
687,868.2084666661846
688,861.8809646595682
689,857.9940725171322
690,854.9537941759396
691,852.1719882997213
692,850.5082991250106
693,848.8807331894017
694,849.4765911463613
695,852.5973720230671
696,852.0233041734969
697,854.1424201247294
698,855.1226280092451
699,855.6506443126069
700,854.6269133614534
701,853.0595051887507
702,850.3774667276939
703,847.4564493127659
704,846.3462234852241
705,843.2816014203208
706,842.079933862965
707,841.7541834343352
708,841.6279524947649
709,841.1530614074497
710,840.9179756938069
711,839.249575108212
712,838.0248926454942
713,837.5806127963378
714,835.8151040784096
715,834.8955043563029
716,833.9194275200133
717,832.7147628345541
718,831.3369268948169
719,830.7517128914631
720,829.5237349144986
721,828.2370167216867
722,827.2413661130062
723,826.5007244061497
724,825.8486420648236
725,825.2493818633473
726,824.8885764489656
727,824.409353714012
728,824.2226974989275
729,823.8176354966168
730,823.6571987590916
731,823.5874621782143
732,823.4970454292687
733,823.6603441704074
734,823.8246103783587
735,824.0058950850951
736,824.4122685082754
737,824.8056810862745
738,825.0776360108692
739,825.1551728729197
740,825.1260177038042
741,825.1945184133426
742,825.237547811651
743,825.0173112618975
744,824.8721607778018
745,824.8009456951527
746,824.7852535240577
747,824.9259987624177
748,824.930627056418
749,824.8448744474142
750,824.9321796565364
751,825.1674205744598
752,825.4873968726416
753,825.8123023485074
754,825.7903407325933
755,825.9878376152757
756,826.2008550297837
757,825.9785789230144
758,826.7169875008867
759,827.1847345863453
760,827.1607487650448
761,827.4599198800538
762,828.0925392064755
763,829.0632413158597
764,829.9411781413372
765,831.214874110375
766,831.32214480367
767,832.0030356098554
768,832.2430601826745
769,832.114421815899
770,835.7688627679474
771,864.3641065322839
772,920.4526536945458
773,1001.2940892039803
774,1061.9682902730565
775,1101.2208465353763
776,1100.9490025455648
777,994.2672749312677
778,871.7287896144537
779,1004.783384027528
780,986.6416158427148
781,999.0583384435095
782,1008.0801321850983
783,981.7294059305777
784,947.0960790456089
785,917.4885752320874
786,895.2047732951924
787,881.1568415733642
788,874.0061653533925
789,870.8876597326669
790,871.4360903991324
791,874.813117106614
792,879.9078564233674
793,887.1185703224721
794,900.4033823065093
795,912.9917456428028
796,929.7519866591288
797,979.1919663972425
798,1020.4522664096272
799,1016.0524222581327
800,1003.8336212450745
801,986.4639551372469
802,966.9324235548584
803,951.9229095193542
804,916.2325670950786
805,880.2040417374714
806,864.6005642585012
807,858.9812586182587
808,853.4369987051329
809,848.2184777055867
810,844.7258951261107
811,842.1818715255422
812,840.9157515877387
813,837.2440009366622
814,833.7744535074576
815,830.6996018330161
816,828.429249973523
817,826.2039283888647
818,824.5027788462447
819,822.8033534558715
820,821.6400331263611
821,821.3681473004007
822,821.0206125450378
823,820.7180513625274
824,820.316655611087
825,820.0030755428999
826,819.6988872914399
827,819.4566117855697
828,819.1605584782807
829,818.8797216901658
830,818.74599337917
831,818.6886183581624
832,818.6589061447463
833,818.5841994547382
834,818.5062714830328
835,818.3863396102864
836,818.3092326987157
837,818.2577006155581
838,818.1475718710186
839,818.0200857398548
840,817.9104305767553
841,817.8128033015068
842,817.7045392988849
843,817.6270037634624
844,817.5296770727655
845,817.4291758725769
846,817.2937917091824
847,817.1573903701321
848,817.0373735666855
849,816.9632038864484
850,816.8967124284294
851,816.8225865127184
852,816.7108752705269
853,816.6067345694198
854,816.5635549458673
855,816.521987973572
856,816.4722679789055
857,816.4383862213028
858,816.4324738013656
859,816.4802555063362
860,816.6021300763808
861,816.7340013907843
862,816.8216295583836
863,816.9620598001208
864,817.1266041340607
865,817.2613794251682
866,817.4058261426626
867,817.5109106504616
868,817.6276022347218
869,817.7743856501633
870,817.9230757585382
871,818.0270407899891
872,818.1189106410983
873,818.1735163313898
874,818.1727692208193
875,818.1972429227433
876,818.1655364920352
877,818.1406998806162
878,818.132204143052
879,818.1365954573033
880,818.0745617102137
881,818.1185843164875
882,818.1473446195595
883,818.1935545194426
884,818.2018048319986
885,818.2354316612013
886,818.2468912510229
887,818.3303542065933
888,818.4155608248275
889,818.4507984441218
890,818.4647269166502
891,818.4657115038768
892,818.4794418458586
893,818.4902785443531
894,818.5026601645309
895,818.4753679285492
896,818.4629989402836
897,818.4267662885896
898,818.4722118897832
899,818.4856266974737
900,818.5490101918734
901,818.6111419393256
902,818.7216253269474
903,818.8416675950006
904,818.9603996938981
905,819.0635415260272
906,819.1937097867891
907,819.3169353160868
908,819.4655419026246
909,819.6207380983356
910,819.6677961292419
911,819.73200069616
912,819.8529155840644
913,819.928497271703
914,820.0172832274357
915,820.1280504620765
916,820.1963685021916
917,820.3400267699263
918,820.5879734318136
919,820.7912089844049
920,820.9798626217597
